cluster,keyword,tier,url,intent,priority,words
17. Блог: Тбилиси,Какую серную баню выбрать в Тбилиси,СЧ,/blog/bani-tbilisi/,Инфо,A,115
17. Блог: Тбилиси,"Ботанический сад Тбилиси : цены, маршрут и что посмотреть",ВЧ,/blog/botanicheskiy-sad-tbilisi/,Инфо,A,123
17. Блог: Тбилиси,Частный гид или групповая экскурсия в Тбилиси,ВЧ,/blog/chastny-gid-ili-gruppa-tbilisi/,Инфо,A,329
17. Блог: Тбилиси,Частный гид Тбилиси цена,ВЧ,/blog/chastny-gid-tbilisi-cena/,Инфо,A,271
17. Блог: Тбилиси,Что посмотреть в Тбилиси в году: 40 мест,ВЧ,/blog/chto-posmotret-v-tbilisi/,Инфо,A,130
17. Блог: Тбилиси,"Digital Nomad Tbilisi : Coworking, Cost of",НЧ,/blog/digital-nomad-tbilisi/,Инфо,A,129
17. Блог: Тбилиси,"Экскурсии в Тбилиси : как выбрать, цены",ВЧ,/blog/ekskursii-v-tbilisi/,Инфо,A,128
17. Блог: Тбилиси,"Фабрика Тбилиси : хостел, коворкинг, бары",НЧ,/blog/fabrika-tbilisi/,Инфо,A,125
17. Блог: Тбилиси,Гид по Тбилиси vs гид по Грузии: в чём разница,СЧ,/blog/gid-tbilisi-vs-gid-gruziya/,Инфо,A,389
17. Блог: Тбилиси,"Нарикала Тбилиси : история крепости, как добраться, лучшие в",СЧ,/blog/narikala-tbilisi/,Инфо,A,93
17. Блог: Тбилиси,Ночной Тбилиси: что делать после заката,СЧ,/blog/nochnoy-tbilisi/,Инфо,A,127
17. Блог: Тбилиси,10 ошибок туристов в Тбилиси,СЧ,/blog/oshibki-turistov-tbilisi/,Инфо,A,117
17. Блог: Тбилиси,Районы Тбилиси: где остановиться туристу в,СЧ,/blog/rayony-tbilisi-gde-ostanovitsya/,Инфо,A,118
17. Блог: Тбилиси,Рестораны Тбилиси : где едят местные,СЧ,/blog/restorany-tbilisi/,Инфо,A,117
17. Блог: Тбилиси,Русскоязычный гид в Тбилиси: как выбрать и не,СЧ,/blog/russkoyazychny-gid-tbilisi/,Инфо,A,327
17. Блог: Тбилиси,Серные бани Тбилиси,ВЧ,/blog/sernye-bani-tbilisi/,Инфо,A,132
17. Блог: Тбилиси,Сколько стоит частный гид в Тбилиси,ВЧ,/blog/skolko-stoit-gid-tbilisi/,Инфо,A,386
17. Блог: Тбилиси,15 скрытых мест Тбилиси,СЧ,/blog/skrytye-mesta-tbilisi/,Инфо,A,127
17. Блог: Тбилиси,Советский Тбилиси: мозаики и брутализм,НЧ,/blog/sovetskiy-tbilisi/,Инфо,A,123
17. Блог: Тбилиси,"Stamba Hotel Тбилиси: ресторан, бар, бассейн",НЧ,/blog/stamba-tbilisi/,Инфо,A,125
17. Блог: Тбилиси,"Тбилиси бесплатно: 12 мест, где не нужен",СЧ,/blog/tbilisi-besplatno/,Инфо,A,119
17. Блог: Тбилиси,Тбилиси для релокантов : гайд,СЧ,/blog/tbilisi-dlya-relokantov/,Инфо,A,127
17. Блог: Тбилиси,Фотолокации Тбилиси: 15 точек для фото,НЧ,/blog/tbilisi-fotolokatsii/,Инфо,A,118
17. Блог: Тбилиси,Тбилиси с детьми : 12 мест куда сходить с,СЧ,/blog/tbilisi-s-detmi-chto-posmotret/,Инфо,A,126
17. Блог: Тбилиси,Тбилиси в дождь : 15 мест и маршрут дня,НЧ,/blog/tbilisi-v-dozhd/,Инфо,A,125
17. Блог: Тбилиси,"Тбилиси вечером: что делать, куда пойти",СЧ,/blog/tbilisi-vecherom/,Инфо,A,131
17. Блог: Тбилиси,"Тбилиси за 3 дня: маршрут для тех, кто хочет",СЧ,/blog/tbilisi-za-3-dnya/,Инфо,A,126
17. Блог: Тбилиси,Тбилисское озеро и Черепашье озеро: гайд с ценами и маршруто,НЧ,/blog/tbilisskoe-ozero/,Инфо,A,127
17. Блог: Тбилиси,Цены в Тбилиси : сколько нужно денег на,СЧ,/blog/tseny-v-tbilisi-2026/,Инфо,A,120
17. Блог: Тбилиси,Что входит в услуги частного гида в Тбилиси,СЧ,/blog/uslugi-chastnogo-gida-tbilisi/,Инфо,A,329
18. Блог: гид,Грузия: гид или самостоятельно,СЧ,/blog/gruziya-samostoyatelno-ili-s-gidom/,Инфо,B,112
19. Блог: Грузия общее,Бюджет на Грузию : сколько реально стоит,СЧ,/blog/byudzhet-gruziya/,Инфо,B,118
19. Блог: Грузия общее,Что посмотреть в Грузии : полный гайд от местного гида,ВЧ,/blog/chto-posmotret-v-gruzii/,Инфо,B,129
19. Блог: Грузия общее,Что привезти из Грузии : 20 идей с ценами,СЧ,/blog/chto-privezti-iz-gruzii/,Инфо,B,118
19. Блог: Грузия общее,"Грузия на 7 дней: маршрут, который не",СЧ,/blog/gruziya-7-dney/,Инфо,B,124
19. Блог: Грузия общее,Грузия: когда лучше ехать,ВЧ,/blog/gruziya-kogda-ekhat/,Инфо,B,121
19. Блог: Грузия общее,Грузия первый раз: 25 советов от местного гида,ВЧ,/blog/gruziya-perviy-raz/,Инфо,B,138
19. Блог: Грузия общее,Грузия с детьми: куда ехать и что нужно знать,СЧ,/blog/gruziya-s-detmi/,Инфо,B,130
19. Блог: Грузия общее,"Грузия в сентябре : погода, цены, маршруты и ртвели",СЧ,/blog/gruziya-v-sentyabre/,Инфо,B,128
19. Блог: Грузия общее,"Грузия зимой: горнолыжка, бани и Тбилиси без",НЧ,/blog/gruziya-zimoy/,Инфо,B,125
19. Блог: Грузия общее,"Новый год в Грузии : куда поехать, цены, программа",СЧ,/blog/noviy-god-v-gruzii/,Инфо,B,128
19. Блог: Грузия общее,"Туры в Грузию : цены, виды туров и как выбрать",ВЧ,/blog/tury-v-gruziyu-2026/,Инфо,B,130
19. Блог: Грузия общее,Виза в Грузию для россиян и СНГ,СЧ,/blog/viza-v-gruziyu-2026/,Инфо,B,132
20. Блог: цены/бюджет,"Курс лари к рублю : где менять, сколько брать, лайфхаки",СЧ,/blog/kurs-lari-k-rublyu/,Инфо,B,129
20. Блог: цены/бюджет,Сколько стоит отдых в Грузии : бюджет на,СЧ,/blog/skolko-stoit-otdyh-v-gruzii/,Инфо,B,130
21. Блог: еда,"Грузинская кухня : 15 блюд, которые нужно",СЧ,/blog/gruzinskaya-kukhnya-chto-poprobovat/,Инфо,B,119
21. Блог: еда,"Хачапури по-аджарски: рецепт, где есть в Тбилиси и история",СЧ,/blog/khachapuri-po-adzharski/,Инфо,B,126
22. Блог: аудитория,Georgia with Kids : Family Vacation Guide to,СЧ,/blog/georgia-with-kids/,Инфо,B,131
23. Блог: прочее,Блог о Грузии : гайды и маршруты,СЧ,/blog/,Инфо,B,424
